title	type	url_slug	venue	date	location	talk_url	description
Revisiting Related-Key Boomerang attacks on AES using computer-aided tool	Conference proceedings talk	boomAes-AC22	ASIACRYPT 2022 Annual Conference	2022-12-07	Taipei, Taiwan	https://iacr.org/submit/files/slides/2022/asiacrypt/asiacrypt2022/302/slides.pdf	https://youtube.com/watch?v=NYH8cUjeNvQ
Revisiting Related-Key Boomerang attacks on AES using computer-aided tool	Talk	boomAes-caplock	CAPLOCK Seminar of CAPSULE team	2023-05-11	Rennes, France		
Finding Complete Impossible Differential Attacks on AndRX and ARX Designs	Talk	arxid-caramba	Cryptography Group Seminar of CARAMBA team	2024-05-30	Nancy,France	https://caramba.loria.fr/sem-slides/202405301030.pdf	
Finding complete impossible differential attacks on AndRX ciphers and efficient distinguishers for ARX designs	Talk	arxid-caplock	CAPLOCK Seminar of CAPSULE team	2024-10-10	Rennes, France		
